x-axis,1,2
second,Volt,Volt
-125.8125E-09,+228.8319699110E-03,-217.0072212939E-03
-125.0313E-09,+233.4952864439E-03,-220.9368694930E-03
-124.2500E-09,+237.0530753506E-03,-224.9569699525E-03
-123.4688E-09,+244.9123717488E-03,-225.1177739709E-03
-122.6875E-09,+245.2339797856E-03,-226.8062161638E-03
-121.9063E-09,+252.9525726677E-03,-229.0474221700E-03
-121.1250E-09,+254.9626228974E-03,-232.9971708714E-03
-120.3438E-09,+257.2038289036E-03,-233.1579748898E-03
-119.5625E-09,+265.0128740461E-03,-233.1579748898E-03
-118.7813E-09,+269.1937785239E-03,-233.1579748898E-03
-118.0000E-09,+269.3545825423E-03,-237.0172713308E-03
-117.2188E-09,+270.8018187077E-03,-237.1780753492E-03
-116.4375E-09,+273.2741804903E-03,-233.3187789081E-03
-115.6563E-09,+277.2339794428E-03,-233.1579748898E-03
-114.8750E-09,+281.2540799023E-03,-233.1579748898E-03
-114.0938E-09,+279.2440296726E-03,-233.1579748898E-03
-113.3125E-09,+277.4651352192E-03,-229.2986784487E-03
-112.5313E-09,+281.2540799023E-03,-229.1378744303E-03
-111.7500E-09,+281.4148839207E-03,-229.1378744303E-03
-110.9688E-09,+277.5555874796E-03,-225.2785779892E-03
-110.1875E-09,+277.3947834612E-03,-221.2584775298E-03
-109.4063E-09,+277.3947834612E-03,-217.2383770703E-03
-108.6250E-09,+277.3947834612E-03,-217.0775730519E-03
-107.8438E-09,+277.3947834612E-03,-217.0775730519E-03
-107.0625E-09,+275.2239292131E-03,-213.2182766109E-03
-106.2813E-09,+273.4450347598E-03,-205.3388797103E-03
-105.5000E-09,+269.5153865607E-03,-205.0172716736E-03
-104.7188E-09,+269.3545825423E-03,-202.1227993428E-03
-103.9375E-09,+265.4952861012E-03,-197.1780757776E-03
-103.1563E-09,+259.7867434488E-03,-189.2584778725E-03
-102.3750E-09,+253.5254369832E-03,-185.0775733947E-03
-101.5938E-09,+249.4148842634E-03,-182.9871211557E-03
-100.8125E-09,+245.3947838039E-03,-180.9770709260E-03
-100.0313E-09,+242.8219195099E-03,-173.1780760347E-03
-99.2500E-09,+241.2741808330E-03,-165.1378751158E-03
-98.4688E-09,+233.4952864439E-03,-157.0976741969E-03
-97.6875E-09,+225.4550855250E-03,-153.6403878017E-03
-96.9063E-09,+217.4148846061E-03,-148.9268200130E-03
-96.1250E-09,+215.1636283488E-03,-141.0172723590E-03
-95.3438E-09,+213.1535781191E-03,-129.1177749990E-03
-94.5625E-09,+201.4952867867E-03,-124.5348604753E-03
-93.7813E-09,+193.2942818494E-03,-120.7459157922E-03
-93.0000E-09,+185.2540809305E-03,-112.8765691428E-03
-92.2188E-09,+180.1083523424E-03,-104.8363682239E-03
-91.4375E-09,+173.1535785475E-03,-96.7961673050E-03
-90.6563E-09,+165.1535786332E-03,-93.0976748823E-03
-89.8750E-09,+157.1133777143E-03,-88.6152628700E-03
-89.0938E-09,+150.5204129608E-03,-76.8564690261E-03
-88.3125E-09,+144.9525738244E-03,-64.7961676477E-03
-87.5313E-09,+133.1535789759E-03,-59.9720470964E-03
-86.7500E-09,+121.0932775975E-03,-56.4142581898E-03
-85.9688E-09,+109.0329762192E-03,-48.5549617915E-03
-85.1875E-09,+105.1736797781E-03,-36.6554644315E-03
-84.4063E-09,+100.6912677658E-03,-28.4544594942E-03
-83.6250E-09,+92.7917703630E-03,-24.5147610440E-03
-82.8438E-09,+77.0329765619E-03,-20.2635048081E-03
-82.0625E-09,+69.8771977441E-03,-8.5147612153E-03
-81.2813E-09,+64.5405143841E-03,+3.5455401630E-03
-80.5000E-09,+56.6108662279E-03,+15.6058415414E-03
-79.7188E-09,+44.7113688679E-03,+20.6711681203E-03
-78.9375E-09,+28.7917710484E-03,+27.8570976916E-03
-78.1563E-09,+22.6008163409E-03,+35.8671478571E-03
-77.3750E-09,+16.3395098753E-03,+43.9073487760E-03
-76.5938E-09,+4.5103642733E-03,+48.0882532538E-03
-75.8125E-09,-7.5499371051E-03,+52.1083537133E-03
-75.0313E-09,-15.0273239597E-03,+67.7063434960E-03
-74.2500E-09,-19.9016957667E-03,+72.2088560105E-03
-73.4688E-09,-31.6705398618E-03,+80.0882529111E-03
-72.6875E-09,-39.8715447991E-03,+83.5455393062E-03
-71.9063E-09,-55.6303386002E-03,+88.2591070949E-03
-71.1250E-09,-60.1328511148E-03,+103.8872476311E-03
-70.3438E-09,-64.1529515742E-03,+112.2490565867E-03
-69.5625E-09,-79.7509413569E-03,+116.6711670921E-03
