Freq.	V(ref)/V(tee)
6.07240000000000e+07	1.18178061581814e+00,-2.18816402359540e-01
6.08820000000000e+07	1.17953602530956e+00,-2.16029853068707e-01
6.10400000000000e+07	1.17732285488158e+00,-2.13248463267984e-01
6.11980000000000e+07	1.17514059504145e+00,-2.10472459711788e-01
6.13560000000000e+07	1.17298874341010e+00,-2.07702058311797e-01
6.15140000000000e+07	1.17086680471677e+00,-2.04937464512786e-01
6.16720000000000e+07	1.16877429078685e+00,-2.02178873657367e-01
6.18300000000000e+07	1.16671072052342e+00,-1.99426471339854e-01
6.19880000000000e+07	1.16467561988290e+00,-1.96680433749484e-01
6.21460000000000e+07	1.16266852184529e+00,-1.93940928003250e-01
6.23040000000000e+07	1.16068896637931e+00,-1.91208112468569e-01
6.24620000000000e+07	1.15873650040289e+00,-1.88482137076019e-01
6.26200000000000e+07	1.15681067773938e+00,-1.85763143622406e-01
6.27780000000000e+07	1.15491105906972e+00,-1.83051266064372e-01
6.29360000000000e+07	1.15303721188102e+00,-1.80346630802800e-01
6.30940000000000e+07	1.15118871041175e+00,-1.77649356958234e-01
6.32520000000000e+07	1.14936513559389e+00,-1.74959556637566e-01
6.34100000000000e+07	1.14756607499227e+00,-1.72277335192190e-01
6.35680000000000e+07	1.14579112274141e+00,-1.69602791467889e-01
6.37260000000000e+07	1.14403987947999e+00,-1.66936018046639e-01
6.38840000000000e+07	1.14231195228336e+00,-1.64277101480584e-01
6.40420000000000e+07	1.14060695459407e+00,-1.61626122518373e-01
6.42000000000000e+07	1.13892450615086e+00,-1.58983156324097e-01
6.43580000000000e+07	1.13726423291611e+00,-1.56348272689011e-01
6.45160000000000e+07	1.13562576700207e+00,-1.53721536236273e-01
6.46740000000000e+07	1.13400874659588e+00,-1.51103006618881e-01
6.48320000000000e+07	1.13241281588371e+00,-1.48492738711018e-01
6.49900000000000e+07	1.13083762497404e+00,-1.45890782792997e-01
6.51480000000000e+07	1.12928282982034e+00,-1.43297184729995e-01
6.53060000000000e+07	1.12774809214305e+00,-1.40711986144762e-01
6.54640000000000e+07	1.12623307935129e+00,-1.38135224584485e-01
6.56220000000000e+07	1.12473746446419e+00,-1.35566933681992e-01
6.57800000000000e+07	1.12326092603200e+00,-1.33007143311455e-01
6.59380000000000e+07	1.12180314805709e+00,-1.30455879738783e-01
6.60960000000000e+07	1.12036381991501e+00,-1.27913165766841e-01
6.62540000000000e+07	1.11894263627547e+00,-1.25379020875686e-01
6.64120000000000e+07	1.11753929702365e+00,-1.22853461357951e-01
